Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47n,C1622
"C10, C7",0603,2,1u,C15849
"C11, C13, C14, C15, C16",0603,5,10u,C96446
"C12, C17, C18",0603,3,100n,C14663
C3,0603,1,47p,C1671
"C4, C6",0603,2,220n,C21120
C9,0603,1,22n,C21122
"D1, D2",D_SOD-323,2,1N4148WS,C2128
"Q1, Q2, Q3",SOT-23,3,MMBT5551,C2145
"Q10, Q6, Q8",SOT-23,3,AO3401A,C15127
"Q12, Q13, Q14",SOT-23,3,AO3400A,C20917
"R11, R48",0603,2,100,C22775
"R13, R14, R16, R4, R6",0603,5,1k,C21190
"R15, R19",0603,2,510k,C23192
"R17, R20, R21, R22, R23, R25, R3",0603,7,10k,C25804
R2,0603,1,4.7k,C23162
"R24, R27",0603,2,100k,C25803
"R26, R28",0603,2,2.2k,C4190
R47,0603,1,47k,C25819
R7,0603,1,220,C25804
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,C7426
